WORD,POLARITY
affordable,1
refreshing,1
superb,1
irritating,-1
dazzling,1
joke,-1
unnecessary,-1
entertaining,1
alluring,1
smoke,-1
fascinating,1
accessible,1
scared,-1
split,-1
golden,1
inconsistent,-1
warning,-1
worthwhile,1
mundane,-1
desert,-1
fooled,-1
heavenly,1
frozen,-1
fresher,1
classy,1
idle,-1
courteous,1
gain,1
luck,1
right,1
famished,-1
sweet,1
prompt,1
squash,-1
cramped,-1
soft,1
tanks,-1
bum,-1
insultingly,-1
nonsense,-1
pleasurable,1
promise,1
gimmick,-1
delicious,1
miscellaneous,-1
vibrant,1
standout,1
beware,-1
consistent,1
positive,1
fatty,-1
mess,-1
favorable,1
waste,-1
super,1
drawback,-1
thrilled,1
improved,1
unfortunately,-1
refinement,1
unlimited,1
pig,-1
hospitable,1
miraculously,1
inconsiderate,-1
randomly,-1
fun,1
interesting,1
pleasantly,1
pinnacle,1
pathetic,-1
lousy,-1
grand,1
work,1
loud,-1
amazing,1
impressive,1
freshest,1
flaky,-1
sexy,1
crushed,-1
feat,1
effective,1
die,-1
failed,-1
perfection,1
great,1
lone,-1
ridiculously,-1
hottest,1
congestion,-1
support,1
unavailable,-1
oasis,1
absurdly,-1
homage,1
quiet,1
comfortable,1
smiles,1
hassle,-1
hang,-1
meaningless,-1
seasoned,1
delight,1
patient,1
long-time,-1
nicely,1
angry,-1
crap,-1
unpleasantries,-1
terribly,-1
chic,1
shockingly,-1
evil,-1
top,1
appreciates,1
trust,1
genuine,1
mind-blowing,1
ignore,-1
rigid,-1
incompetent,-1
steep,-1
uncomfortable,-1
variety,1
modern,1
stew,-1
ease,1
stuffy,-1
complaining,-1
discourage,-1
desolate,-1
odd,-1
clearly,1
louder,-1
recommendations,1
respect,1
dent,-1
lack,-1
smell,-1
indulge,-1
lag,-1
magnificent,1
wins,1
overpriced,-1
unexpected,-1
regret,-1
all-around,1
angel,1
outshine,1
extraordinary,1
bothered,-1
cute,1
commend,1
recomend,1
economical,1
excelent,1
horrific,-1
loyalty,1
concern,-1
disloyal,-1
bright,1
downside,-1
horrible,-1
terrific,1
lovely,1
quaint,1
consistently,1
complained,-1
perfectly,1
ashamed,-1
winner,1
wasting,-1
marginally,-1
cozy,1
graciously,1
amazed,1
dreadful,-1
harasses,-1
annoyed,-1
fair,1
passion,1
funky,-1
amazingly,1
fool,-1
gross,-1
delayed,-1
bumping,-1
excuse,-1
risky,-1
worthy,1
promised,1
hesitant,-1
speedy,1
complimentary,1
broken,-1
lurking,-1
insanely,-1
lumpy,-1
stunningly,1
wonder,1
freezing,-1
remorse,-1
scream,-1
crazy,-1
cheapest,1
suspicious,-1
understandable,1
clumsy,-1
destroy,-1
shame,-1
lush,1
haze,-1
charmingly,1
screwed,-1
calm,1
raving,-1
trendy,1
skeptical,-1
lucky,1
berate,-1
pricey,-1
hideously,-1
heartily,1
strike,-1
enough,1
overbearing,-1
greasy,-1
beautiful,1
missed,-1
slow,-1
best,1
tired,-1
refined,1
relaxed,1
sharp,1
impress,1
inexpensive,1
death,-1
snag,-1
inappropriate,-1
twist,-1
reluctant,-1
miserable,-1
obnoxious,-1
sad,-1
crappy,-1
adore,1
cracked,-1
poor,-1
allergies,-1
rip-off,-1
worse,-1
unbearable,-1
whining,-1
warmly,1
proper,1
fav,1
snobs,-1
exorbitant,-1
rude,-1
improves,1
convenient,1
charming,1
unattractive,-1
complaint,-1
stylish,1
delightful,1
amiable,1
unfortunate,-1
incredibly,1
cheap,1
badly,-1
compliment,1
thrill,1
gimmicks,-1
overdue,-1
impeccable,1
dark,-1
promptly,1
problems,-1
delightfully,1
die-hard,-1
strangest,-1
frustrating,-1
horrified,-1
devoid,-1
friendly,1
kudos,1
mad,-1
willing,1
arrogant,-1
distract,-1
thinner,1
loves,1
wimpy,-1
annoying,-1
kill,-1
crime,-1
wrong,-1
worry,-1
warm,1
hated,-1
superior,1
graceless,-1
available,1
messy,-1
masters,1
attraction,1
dim,-1
disappointed,-1
wow,1
prize,1
knowledgeable,1
generously,1
limit,-1
sweetness,1
negative,-1
dirt-cheap,1
smitten,1
heaven,1
promising,1
rough,-1
impresses,1
severe,-1
dynamic,1
unwanted,-1
lacking,-1
bargain,1
overwhelmed,-1
mediocre,-1
thank,1
drunk,-1
quibbles,-1
reasonable,1
critic,-1
flair,-1
solid,1
unbelievable,-1
rich,1
heck,-1
convenience,1
spoiled,-1
bumped,-1
lie,-1
love,1
weak,-1
sick,-1
recommended,1
smart,1
appropriate,1
awsome,1
awful,-1
atrocious,-1
lively,1
brilliant,1
drawbacks,-1
strict,-1
treasure,1
exceed,1
mashed,-1
picky,-1
difficult,-1
hype,-1
better,1
grace,1
ripoff,-1
incredible,1
enjoyed,1
fails,-1
happy,1
dungeon,-1
unwelcome,-1
loving,1
attentive,1
horrendous,-1
poorly,-1
floored,-1
disapointing,-1
exciting,1
prefer,1
trouble,-1
wasted,-1
disappointment,-1
sucks,-1
lighter,1
authentic,1
problem,-1
uncomfortably,-1
top-notch,1
humble,1
worst,-1
utterly,-1
tender,1
pretentious,-1
exellent,1
reliable,1
fast,1
sublime,1
fave,1
complain,-1
greatest,1
sunken,-1
magic,1
enjoy,1
sorry,-1
dirty,-1
bravo,1
innovative,1
uneven,-1
polite,1
scratch,-1
smile,1
dissapointed,-1
pleased,1
unhappy,-1
dissappointed,-1
correct,1
classic,1
fairly,1
redeeming,1
happier,1
ripped,-1
talent,1
easy,1
broke,-1
healthy,1
famous,1
impressed,1
fine,1
compact,1
timely,1
bore,-1
appreciate,1
lies,-1
fantastic,1
noise,-1
robust,1
indifferent,-1
fans,1
nice,1
expensive,-1
wise,1
romantic,1
limp,-1
sub-par,-1
peaceful,1
loved,1
wild,-1
attractive,1
substandard,-1
liberty,1
clear,1
healthful,1
fell,-1
improper,-1
praise,1
jealous,-1
lemon,-1
disgusting,-1
miss,-1
disappoint,-1
bored,-1
comfort,1
smelled,-1
fortune,1
inventive,1
good,1
supreme,1
capable,1
imposing,-1
adorable,1
steal,-1
exceptionally,1
strong,1
skimpy,-1
tops,1
overwhelm,-1
humor,1
wonderfully,1
admire,1
important,1
overdone,-1
drunken,-1
murky,-1
cool,1
spectacular,1
flashy,1
cheaper,1
clean,1
charm,1
hissed,-1
sensations,1
ruined,-1
reasonably,1
weird,-1
solicitous,1
doubt,-1
greedy,-1
delicate,1
